id,a,b,c
5472,0.17,6,z
5473,0.9,4.42,z
5474,0.49,6.3,x
5475,0.57,6.1,z
5476,0.12,3.11,y
5477,0.75,5.54,z
5478,0.44,2.94,z
5479,0.63,5.54,z
5480,0.27,2.66,z
5481,0.63,4.09,x
5482,0.43,6.16,z
5483,0.56,8.73,z
5484,0.25,6.08,z
5485,0.78,3.89,x
5486,0.95,7.11,x
5487,0.46,1.59,x
5488,0.28,4.9,x
5489,0.34,4.21,z
5490,0.49,7.45,y
5491,0.69,4.82,z
5492,0.35,3.03,z
5493,0.34,3.52,z
5494,0.76,8.52,z
5495,0.01,5.73,x
5496,0.9,6.23,x
5497,0.8,4.59,z
5498,0.36,5.23,x
5499,0.91,4.45,z
5500,0.15,5.32,z
5501,0.89,8.97,y
5502,0.06,5.12,x
5503,0.94,2.77,x
5504,0.7,6.18,z
5505,0.61,1.91,y
5506,0.36,3.04,x
5507,0.06,6.54,y
5508,0.75,4.15,y
5509,0.32,6.74,z
5510,0.58,7.51,x
5511,0.72,2.61,z
5512,0.1,5.45,y
5513,0.15,5.93,x
5514,0.73,2.01,z
5515,0.47,2.33,x
5516,0.12,4.19,z
5517,0.26,5.87,z
5518,0.91,6.85,x
5519,0.78,-0.44,y
5520,0.65,6.46,x
5521,0.52,0.74,z
5522,0.95,3.55,z
5523,0.47,5.56,x
5524,0.46,5.67,z
5525,0.96,5.95,y
5526,0.06,3.79,z
5527,0.69,3.42,z
5528,0.08,6.67,z
5529,0.32,7.72,y
5530,0.9,-0.36,x
5531,0.56,4.89,y
5532,0.27,2.05,z
5533,0.85,2.78,y
5534,0.16,6.44,y
5535,0.87,3.56,z
5536,0.62,4.66,x
5537,0.67,2.4,z
5538,0.4,5.53,z
5539,0.55,4.03,x
5540,0.14,3.7,z
5541,0.85,5.83,z
5542,0.01,5.25,x
5543,0.52,5.41,y
5544,0.33,4.45,y
5545,0.8,3.78,z
5546,0.64,5.93,z
5547,0.79,5.99,z
5548,0.36,7.5,y
5549,0.25,4.37,y
5550,0.44,3.3,z
5551,0.08,1.45,x
5552,0.33,6.78,z
5553,0.75,3.74,y
5554,0.59,5.63,z
5555,0.71,2.08,z
5556,0.95,1.12,x
5557,0.35,4.56,y
5558,0.91,6.19,x
5559,0.42,3.99,y
5560,0.06,2.91,y
5561,0.67,6.51,z
5562,0.59,4.21,z
5563,0.75,4.44,x
5564,0.4,7.16,x
5565,0.82,1.96,z
5566,0.85,5.44,y
5567,0.68,9.21,y
5568,0.99,3.21,z
5569,0.63,8.1,y
5570,0.5,5.35,y
5571,0.83,6.07,x
5572,0.67,5.98,y
5573,0.77,6.41,y
5574,0.85,4.85,y
5575,0.62,2.9,x
5576,0.94,7.9,y
5577,0.59,1.72,x
5578,0.88,6.07,y
5579,0.92,-1.01,y
5580,0.02,6.37,x
5581,1,6.53,x
5582,0.12,4.14,z
5583,0.54,6.23,x
5584,0.38,4.1,z
5585,0.47,8.12,y
5586,0.97,3.92,x
5587,0.13,6.83,z
5588,0.56,4.78,z
5589,0.28,8.01,y
5590,0.54,6.25,z
5591,0.68,4.82,x
5592,0.54,6.05,z
5593,0.29,5.16,y
5594,0.72,5.78,z
5595,0.99,6.13,x
5596,0.9,5.49,y
5597,0.31,4.3,x
5598,0.84,5.91,z
5599,0.33,7.78,z
5600,0.01,2.12,z
5601,0.39,4.85,x
5602,0.02,2.04,x
5603,0.2,3.24,y
5604,0.47,7.42,z
5605,0.93,6.99,z
5606,0.78,1.35,z
5607,0.06,2.83,z
5608,0.67,1.24,z
5609,0.65,10.33,y
5610,0.76,7.89,y
5611,0.91,3.88,z
5612,0.15,4.2,x
5613,0.07,4.4,x
5614,0.6,5.7,x
5615,0.87,5.6,y
5616,0.5,5.72,y
5617,0.25,7.49,x
5618,0.31,6.98,x
5619,0.27,8.06,x
5620,0.96,7.04,y
5621,0.41,3.05,y
5622,0.76,2.15,x
5623,0.1,2.78,y
5624,1,6.96,z
5625,0.39,6.08,z
5626,0.76,4.65,x
5627,0.3,3.22,y
5628,0.37,-1.02,x
5629,0.31,2.27,x
5630,0.45,6.49,y
5631,0.51,6.4,z
5632,0.29,5.72,x
5633,0.92,4.49,z
5634,0.1,7.83,x
5635,0.7,4.84,x
5636,0.01,1.18,x
5637,0.98,4.93,z
5638,0.5,1.94,x
5639,0.45,7.57,z
5640,0.94,6.72,x
5641,0.42,3.61,y
5642,0.65,7.62,x
5643,0.71,7.13,y
5644,0.38,5.24,y
5645,0.42,4.69,z
5646,0.79,2.85,z
5647,0.05,5.77,z
5648,0.57,4.88,z
5649,0.11,3.22,z
5650,0.72,4.7,x
5651,0.95,1.88,z
5652,0.7,7.4,x
5653,0.92,4.13,x
5654,0.43,0.82,z
5655,0.78,4.89,z
5656,0.85,6.02,y
5657,0.76,4.23,x
5658,0.63,6.77,y
5659,0.18,5.18,x
5660,0.06,4.17,z
5661,0.9,8.8,x
5662,0.73,1.38,x
5663,0.66,2.24,z
5664,0.98,4,x
5665,0.13,5.15,z
5666,0.91,4.21,x
5667,0.8,8.32,x
5668,0.98,9.38,y
5669,0.18,4.43,x
5670,0.68,-0.59,x
5671,0.15,3.38,z
5672,0.71,2.88,x
5673,0.15,1.17,y
5674,0.41,5.83,x
5675,0.38,7.9,x
5676,0.04,3.2,x
5677,0.04,6.78,z
5678,0.13,6.31,y
5679,0.74,2.31,z
5680,0.43,4.27,x
5681,0.69,3.98,y
5682,0.14,5.42,x
5683,0.15,5.71,x
5684,0.06,4.22,z
5685,0.9,7.43,x
5686,0.48,7.37,y
5687,0.55,8.2,x
5688,0.27,6.69,y
5689,0.59,9.44,x
5690,0.99,4.36,z
5691,0.72,3.18,x
5692,0.54,2.01,x
5693,0.62,7.81,z
5694,0.67,2.97,x
5695,0.61,5.42,z
5696,0.69,5.99,x
5697,0.39,5.85,z
5698,0.52,4.24,y
5699,0.58,0.11,z
5700,0.74,3.86,y
5701,0.76,6.86,z
5702,0.7,4.36,y
5703,0.68,4.59,x
5704,0.78,6.67,x
5705,0.19,8.3,y
5706,0.84,6.96,x
5707,0.81,5.17,z
5708,0.85,2.83,y
5709,0.44,1.88,x
5710,0.52,5.63,y
5711,0.17,6.9,y
5712,0.1,5.35,x
5713,0.4,6.17,z
5714,0,5.5,x
5715,0.03,-0.97,z
5716,0.33,3.16,x
5717,0.68,4.63,x
5718,0.06,2,x
5719,0.97,4.11,y
5720,0.38,4.25,y
5721,0.57,5.7,y
5722,0.4,3.57,x
5723,0.73,3.47,z
5724,0.62,9.54,x
5725,0.31,0.87,x
5726,0.95,4.91,z
5727,0.17,5.88,y
5728,0.96,2.05,z
5729,0.26,7.99,x
5730,0.82,7.96,z
5731,0.38,5.35,y
5732,0.59,6.15,x
5733,0.68,2.9,y
5734,0.66,7.87,z
5735,0.75,6.19,z
5736,0.48,3.92,z
5737,0.53,5.22,z
5738,0.06,6.87,x
5739,0.49,5.54,z
5740,0.97,5.63,z
5741,0.7,5.38,x
5742,0.88,5,z
5743,0.38,1.5,y
5744,0.88,4.84,x
5745,0.55,7.56,y
5746,0.31,5.09,y
5747,0.81,7.29,y
5748,0.72,6.79,x
5749,0.41,5,z
5750,0.69,8.61,x
5751,0.39,5.13,z
5752,0.06,0.7,y
5753,0.49,4.39,z
5754,0.43,4.36,y
5755,0.48,4.84,z
5756,0.65,5.76,z
5757,0.44,8.93,y
5758,0.66,3.43,z
5759,0.59,5.35,y
5760,0.27,3.68,x
5761,0.91,0.84,z
5762,0.97,4.36,x
5763,0.04,5.87,x
5764,0.97,4.08,x
5765,0.45,5.29,x
5766,0.76,5.56,x
5767,0.87,4.5,z
5768,0.26,6.53,y
5769,0.68,3.28,z
5770,0.17,1.35,y
5771,0.4,6.1,z
5772,0.1,5.8,x
5773,0.54,5.77,y
5774,0.26,5.34,z
5775,0.99,8.11,y
5776,0.03,8.67,x
5777,0.66,2.86,y
5778,0.69,5.24,y
5779,0.56,7.13,y
5780,0.07,6.91,y
5781,0.66,5.97,x
5782,0.49,7.14,x
5783,0.97,5.09,y
5784,0.75,1.83,x
5785,0.46,3.88,z
5786,0.66,5.67,x
5787,0.68,3.94,y
5788,0.87,10.22,z
5789,0.3,7.56,z
5790,0.69,2.48,x
5791,0.54,6.02,z
5792,0.47,5.2,x
5793,0.02,6.6,x
5794,0.67,7.02,x
5795,0.86,4.33,y
5796,0.06,3.79,z
5797,0.77,6.12,y
5798,0.54,3.35,x
5799,0.8,6.47,y
5800,0.57,6.45,y
5801,0.9,0.89,y
5802,0.78,5.29,z
5803,0.62,4.23,y
5804,0.48,6.54,z
5805,0.58,7.02,x
5806,0.54,7.12,y
5807,0.7,2.76,y
5808,0.09,6.66,x
5809,0.17,4.49,x
5810,0.71,5.4,x
5811,0.03,6.78,z
5812,0.03,1.42,x
5813,0.19,5.46,y
5814,0.58,3.34,x
5815,0.2,7.82,z
5816,0.66,8.57,y
5817,0.65,5.29,z
5818,0.92,2.59,z
5819,0.08,7.41,y
5820,0.82,4.8,z
5821,0.09,3.57,x
5822,0.85,6.31,x
5823,0.28,5.8,x
5824,0.04,7.13,y
5825,0.79,4.34,y
5826,0.95,7.71,y
5827,0.47,4.74,z
5828,0.33,7.82,z
5829,0.4,6.4,x
5830,1,0.71,y
5831,0.68,7.75,y
5832,0.25,6.99,y
5833,0.66,-1.11,z
5834,0.12,5.72,x
5835,0.89,3.5,y
5836,0.76,3.79,y
5837,0.21,3.88,y
5838,0.5,8.57,z
5839,0.78,3.2,y
5840,0.9,4.07,y
5841,0.16,7.64,x
5842,0.32,7.73,x
5843,0.22,5.31,y
5844,0.17,4.52,y
5845,0.28,6.22,x
5846,0.78,8.62,x
5847,0.87,3.1,x
5848,0.4,0.95,y
5849,0.25,6.36,y
5850,0.86,10.16,z
5851,0.22,4.6,z
5852,0.74,2.72,x
5853,0.39,4.43,x
5854,0.41,6.2,z
5855,0.5,6.02,y
5856,0.57,5.86,y
5857,0.62,2.67,y
5858,0.64,6.28,y
5859,0.49,3.87,x
5860,0.12,4.25,z
5861,0.37,7.84,z
5862,0.28,5.08,z
5863,0.82,4.42,z
5864,0.62,4.38,y
5865,0.01,4.77,x
5866,0.97,6.25,y
5867,0.28,8.5,z
5868,0.79,3.72,z
5869,0.73,1.78,x
5870,0.69,5.52,z
5871,0.08,3.5,x
5872,0.82,4.12,y
5873,0.5,2.34,y
5874,0.68,4.16,z
5875,0.73,3.01,x
5876,0.26,5.16,z
5877,0.5,4.98,z
5878,0.89,1.47,x
5879,0.02,5.71,x
5880,0.14,3.02,y
5881,0.61,8.06,y
5882,0.16,8.13,x
5883,0.42,4.07,y
5884,0.62,4.39,z
5885,0.19,4.46,y
5886,0.95,4.18,z
5887,0.72,6.93,y
5888,0.28,8.71,y
5889,0.56,4.4,z
5890,0.85,3.37,z
5891,0.37,5.25,x
5892,0.43,4.19,z
5893,0.47,3.22,y
5894,0.03,1.48,y
5895,0.01,7.47,z
5896,0.08,3.31,x
5897,0.52,5.54,z
5898,0.14,6.16,y
5899,0.19,6.72,x
5900,0.97,6.7,z
5901,0.83,3.09,x
5902,0.51,3.29,z
5903,0.33,7.08,z
5904,0.53,3.09,x
5905,0.21,4.69,z
5906,0.01,6.73,z
5907,0.19,5.4,z
5908,0.89,3.54,z
5909,0.24,6.41,x
5910,0.45,10.22,x
5911,0.84,5.86,z
5912,0.68,4.65,z
5913,0.47,3.72,z
5914,0.64,7.24,x
5915,0.27,6.07,x
5916,0.65,2.75,x
5917,0.91,6.65,y
5918,0.34,0.18,y
5919,0.53,3.79,z
5920,0.97,5.18,x
5921,0.59,5.31,z
5922,0.55,8.19,x
5923,0.84,3.93,y
5924,0.43,7.09,z
5925,0.13,10.09,z
5926,0.95,4.86,y
5927,0.65,2.48,y
5928,0.35,2.17,x
5929,0.69,1.34,y
5930,0.09,4.67,z
5931,0.69,4.18,x
5932,0.02,3.69,y
5933,0.89,5.13,x
5934,0.46,2.08,z
5935,0.02,4.55,x
5936,0.28,6.94,x
5937,0.79,5.61,z
5938,0.41,4.61,z
5939,0.37,3.92,x
5940,0.53,6.29,z
5941,0.18,5.66,y
5942,0.98,8.83,x
5943,0.47,4.27,y
5944,0.74,4.48,x
5945,0.38,3.65,z
5946,0.42,4.07,x
5947,0.52,2.93,z
5948,0.9,3.1,y
5949,0.6,7.06,x
5950,0.38,6.34,z
5951,0.82,6.84,z
5952,0.7,6.26,z
5953,0.45,4.51,z
5954,0.88,6.83,y
5955,0.41,10.16,x
5956,0.46,3.19,y
5957,0.02,4.97,y
5958,0.03,5.86,z
5959,0.88,5.07,x
5960,0.31,6.31,y
5961,0.23,4.75,y
5962,0.97,7.17,y
5963,0.39,6.45,y
5964,0.42,4.44,x
5965,0.23,5.3,y
5966,0.87,8.08,z
5967,0.25,3.56,x
5968,0.67,6.53,x
5969,0.82,1.39,y
5970,0.53,4.48,z
5971,0.99,6.05,x
5972,0,4.25,y
5973,0.89,5.12,y
5974,0.76,4.61,x
5975,0.91,4.4,x
5976,0.27,6.75,z
5977,0.53,5.41,x
5978,0.36,3.2,y
5979,0.56,4.2,y
5980,0.3,1.7,x
5981,0.64,2.84,z
5982,0.97,7.55,x
5983,0.77,2.71,z
5984,0.12,6.12,z
5985,0.32,7.87,y
5986,0,5.51,z
5987,0.43,3.45,x
5988,0.71,3.16,z
5989,0.44,6.24,z
5990,0.78,2.64,z
5991,0.06,2.32,x
5992,0.43,4.6,y
5993,0.77,-0.47,x
5994,0.41,1.05,x
5995,0.88,4.35,y
5996,0.95,4.23,y
5997,0.2,2.13,z
5998,0.02,4.26,z
5999,0.19,2.76,y
6000,0.14,6.36,x
6001,0.3,4.99,z
6002,0.77,3.16,z
6003,0.69,4.76,y
6004,0.65,0.77,y
6005,0.07,3,x
6006,0.9,6.27,x
6007,0.13,5.34,z
6008,0.21,1.42,y
6009,0.16,0.74,x
6010,0.05,0.59,x
6011,0.71,6.43,x
6012,0.82,2.26,x
6013,0.42,6.87,x
6014,0.58,3.2,x
6015,0.32,3.34,z
6016,0.48,4.85,x
6017,0.97,4.09,z
6018,0.97,3.2,x
6019,0.91,2.23,z
6020,0.94,3.37,z
6021,0.67,6.02,y
6022,0.69,5.6,z
6023,0.1,2.37,z
6024,0.67,3.78,y
6025,0.51,4.42,z
6026,0.1,6.3,z
6027,0.01,6.64,y
6028,0.99,3.43,x
6029,0.48,5.31,y
6030,0.63,4.98,z
6031,0.91,9.24,y
6032,0.44,3.98,z
6033,0.38,8.44,z
6034,0.23,4.72,z
6035,0.32,9.96,z
6036,0,1.91,y
6037,0.65,4.45,y
6038,0.37,7.04,x
6039,0.96,3.71,z
6040,0.15,7.18,z
6041,0.25,3.12,x
6042,0.52,8.59,z
6043,0.42,7.26,x
6044,0.94,2.39,y
6045,0.57,3.7,y
6046,0.83,5.54,x
6047,0.71,8.34,z
6048,0.03,5.18,z
6049,0.65,6.65,y
6050,0.55,6.42,x
6051,0.35,6.02,x
6052,0.15,3.55,y
6053,0.45,6.96,z
6054,0.04,7.74,z
6055,0.56,0.49,x
6056,0.12,4.99,x
6057,0.91,6.49,y
6058,0.08,6.52,y
6059,0.85,3.72,x
6060,0.16,5.14,x
6061,0.21,2.26,y
6062,0.3,6.58,y
6063,0.46,6.9,z
6064,0.04,2.97,x
6065,0.04,9.69,z
6066,0.64,4.21,z
6067,0.58,3,x
6068,0.52,7.32,x
6069,0.76,2.12,y
6070,0.45,5.84,z
6071,0.67,0.9,y
6072,0.19,3.31,z
6073,0.68,5.44,y
6074,0.36,4.92,y
6075,0.7,7.68,y
6076,0.46,7.26,y
6077,0.84,4.09,x
6078,0.95,6.15,x
6079,0.72,5.22,z
6080,0.94,7.9,y
6081,0.09,7.46,y
6082,0.67,0.94,x
6083,0.26,6.74,x
6084,0.33,2.68,z
6085,0.48,4.04,y
6086,0.89,0.27,x
6087,0.87,3.26,x
6088,0.08,5.77,x
6089,0.38,4.94,z
6090,0.48,8.17,z
6091,0.53,5.85,x
6092,0.58,6.36,y
6093,0.56,5.23,y
6094,0.77,2.23,x
6095,0.24,5.02,z
6096,0.35,3.94,y
6097,0.8,5.13,x
6098,0.99,6.37,z
6099,0.71,4.37,x
6100,0.19,2.57,z
6101,0.67,5.65,z
6102,0.15,4.85,y
6103,0.62,6.5,z
6104,0.99,0.5,z
6105,0.09,6.63,z
6106,0.71,6.19,y
6107,0.07,1.22,x
6108,0.33,8.09,y
6109,0.48,7.11,z
6110,0.18,5.69,y
6111,0.72,2.5,z
6112,0.68,5.83,z
6113,0.81,4,z
6114,0.59,0.76,x
6115,0.36,3.53,y
6116,0.09,6.56,x
6117,0.69,6.32,x
6118,0.46,4.19,z
6119,0.24,9.27,z
6120,0.76,5.23,y
6121,0.54,8.83,y
6122,0.68,4.12,x
6123,0.05,2.2,x
6124,0.12,1.62,x
6125,1,2.91,y
6126,0.74,0.4,x
6127,0.45,5.46,x
6128,0.14,5.15,z
6129,0.94,6.78,y
6130,0.61,3.99,y
6131,0.61,4.35,z
6132,0.86,2.05,y
6133,0.09,7.05,z
6134,0.53,4.93,z
6135,0.63,5.32,y
6136,0.93,1.55,z
6137,0.78,-0.59,x
6138,1,6.08,y
6139,0.74,6.08,x
6140,0.87,5.83,y
6141,0.94,3.94,z
6142,0.84,4.05,z
6143,0.75,8.1,z
6144,0.15,4.29,z
6145,0.77,3.98,y
6146,0.95,6.05,x
6147,0.48,7.38,z
6148,0.48,4.51,z
6149,0.07,6.61,y
6150,0.66,3.79,x
6151,0.17,6.99,z
6152,0.55,2.3,y
6153,0.32,7.46,y
6154,0.43,4.41,y
6155,0.57,5.27,x
6156,0.98,6.83,x
6157,0.74,3.72,z
6158,0.98,5.22,z
6159,0.77,3.64,x
6160,0.2,6.39,y
6161,0.18,8.1,y
6162,0.34,3.76,x
6163,0.13,2.24,y
6164,0.5,4.68,x
6165,0.44,4.78,z
6166,0.11,7.09,y
6167,0.45,4.89,z
6168,0.73,5.39,z
6169,0.8,4.81,z
6170,0.72,5.51,x
6171,0.26,4.9,x
6172,0.91,2.99,z
6173,0.1,7.62,z
6174,0.2,6.15,x
6175,0.13,4.71,x
6176,0.84,5.27,x
6177,0.75,4.39,y
6178,0.67,4.88,y
6179,0.44,4.99,y
6180,0.44,2.43,z
6181,0.27,3.7,y
6182,0.1,3.52,y
6183,0.68,6.36,x
6184,0.4,5.53,x
6185,0.58,1.17,y
6186,0.95,2.88,z
6187,0.35,-0.41,z
6188,0.76,2.28,y
6189,0.89,6.66,x
6190,0.72,7.89,x
6191,0.85,2.7,x
6192,0,3.83,y
6193,0.3,3.89,x
6194,0.51,5.9,y
6195,0.39,4.29,y
6196,0.73,5.88,y
6197,0.21,4.03,x
6198,0.13,6.65,y
6199,0.12,3.48,y
6200,0.32,5.33,z
6201,0.55,7.04,z
6202,0.62,4.72,z
6203,0.41,6.21,y
6204,0.57,5.63,x
6205,0.15,3.95,x
6206,0.83,4.93,z
6207,0.21,5.7,z
6208,0.45,5.63,z
6209,0.75,8.52,y
6210,0.48,4.81,z
6211,0.34,4.03,x
6212,0.86,4.89,z
6213,1,3.2,y
6214,0.52,4.88,x
6215,0.65,7.23,y
6216,0.1,4.31,x
6217,0.05,5.49,x
6218,0.19,5.26,y
6219,0.4,4.32,z
6220,0.78,5.3,y
6221,0.08,9.71,y
6222,0.78,4.04,y
6223,0.19,3.82,x
6224,0.76,5.05,z
6225,0.64,4.95,z
6226,0.71,4.46,y
6227,0.87,5.9,x
6228,0.87,7.65,z
6229,0.12,3.07,z
6230,0.33,6.2,x
6231,0.42,5.47,y
6232,0.71,7.02,x
6233,0.02,2.6,x
6234,0.09,4.51,x
6235,0.77,2.9,z
6236,0.78,6.06,y
6237,0.98,4.1,z
6238,0.35,4.07,y
6239,0.79,5.38,z
6240,0.76,8.69,y
6241,0.93,2.24,x
6242,0.45,5.32,x
6243,0.22,4.6,y
6244,0.32,3.92,y
6245,0.01,9.12,y
6246,0.52,2.83,x
6247,0.09,3.81,y
6248,0.62,5.49,z
6249,0.67,1.2,y
6250,0.5,6.86,x
6251,0.26,2.96,z
6252,0.42,4.21,z
6253,0.87,3.58,y
6254,0.19,5.64,x
6255,0.48,5.66,y
6256,0.88,7.97,z
6257,0.8,3.91,z
6258,0.52,8.12,y
6259,0.56,4.26,y
6260,0.6,-0.02,y
6261,0.56,3.7,y
6262,0.91,1.43,z
6263,0.86,5.7,x
6264,0.96,4.22,x
6265,0.28,6.15,z
6266,0.94,6.14,x
6267,0.6,5.99,z
6268,0.37,5.7,x
6269,0.55,6.29,z
6270,0.75,0.54,z
6271,0.59,3.94,y
6272,0.95,4.13,z
6273,0.1,6.03,y
6274,0.09,4.39,x
6275,0.29,6.51,z
6276,0.09,8.72,z
6277,0.33,3.9,x
6278,0.55,3.54,x
6279,0.27,3.78,x
6280,0.28,4.42,z
6281,0.32,3.55,x
6282,0.99,6.88,x
6283,0.84,5.89,x
6284,0.89,5.13,y
6285,0.77,4.56,x
6286,0,5.45,y
6287,0.52,7.18,y
6288,0.05,4.24,x
6289,0.52,3.01,x
6290,0.8,2.55,x
6291,0.49,5.79,z
6292,0.65,4.02,y
6293,0.69,3.19,x
6294,0.98,5.8,z
6295,0.24,3.35,x
6296,0.58,5.45,x
6297,0.66,5.47,z
6298,0.97,8,x
6299,0.52,2.85,y
6300,0.02,6.8,x
6301,0.76,5.34,z
6302,0.14,4.87,y
6303,0.91,4.27,z
6304,0.57,2.88,x
6305,0.84,5.03,x
6306,0.31,3,x
6307,0.88,3.22,x
6308,0.21,1.55,z
6309,0.79,7.39,z
6310,0.12,4.67,z
6311,0.53,3.71,y
6312,0.29,8.76,y
6313,0.03,5.75,x
6314,0.06,6.5,x
6315,0.99,5.12,y
6316,0.25,5.53,z
6317,0.55,4.86,z
6318,0.82,5.49,y
6319,0.49,6.48,y
6320,0.22,5.42,x
6321,0.1,4.16,y
6322,0.82,3.9,y
6323,0.6,3.7,y
6324,0.63,4.21,z
6325,0.34,6.26,y
6326,0.65,5.01,z
6327,0.27,4.37,y
6328,0.02,5.28,z
6329,0.31,6.04,y
6330,0.03,9.85,x
6331,0.57,0.76,y
6332,0.56,5.43,x
6333,0.26,6.56,z
6334,0.96,4.63,y
6335,0.78,5.54,z
6336,0.83,6.77,z
6337,0.48,2.06,x
6338,0.45,7.5,y
6339,0.24,4.75,z
6340,0.9,3.82,y
6341,0.88,3.78,y
6342,0.45,-2.03,y
6343,0.64,8.5,y
6344,0.5,6.71,y
6345,0.99,5.51,x
6346,0.94,6.23,z
6347,0.94,5.67,x
6348,0.71,5.2,x
6349,0.28,5.02,z
6350,0.44,2.62,x
6351,0.7,9.07,x
6352,0.23,6.19,z
6353,0.95,2.77,z
6354,0.29,2.7,x
6355,0.08,3.89,z
6356,0.05,7.2,x
6357,0.54,4.65,y
6358,0.55,5.24,y
6359,0.58,6.24,z
6360,0.84,4.44,x
6361,0.09,3.68,z
6362,0.47,4.28,x
6363,0.09,6.5,y
6364,0.38,6.05,x
6365,0.4,4.64,z
6366,0.73,2.91,x
6367,0.78,3.16,y
6368,0.91,4.25,y
6369,0.57,6.9,x
6370,0.84,3.23,z
6371,0.47,4.06,y
6372,0.79,0.71,x
6373,0.69,5.11,y
6374,0.92,5.54,y
6375,0.03,5.85,x
6376,0.16,4.74,z
6377,0.64,3.57,y
6378,0.47,2.06,y
6379,0.29,7.59,x
6380,0.83,6.5,z
6381,0.19,6.66,y
6382,0.28,0.32,y
6383,0.33,0.78,z
6384,0.76,4.81,z
6385,0.06,6.04,x
6386,0.53,6.48,y
6387,0.56,4.02,z
6388,0.85,3.24,z
6389,0.37,4.14,x
6390,0.03,3.41,x
6391,0.28,2.04,x
6392,0.63,6.02,y
6393,0.58,6.54,z
6394,0.85,7.99,z
6395,0.95,6.32,z
6396,0.71,4.17,y
6397,0.97,4,z
6398,0.93,4.18,x
6399,0.78,6.44,z
6400,0.47,4.75,y
6401,0.94,3.79,y
6402,0.45,4.77,x
6403,0.86,3.69,x
6404,0.8,1.45,x
6405,0.24,5.23,x
6406,0.43,5.33,y
6407,0.92,2.09,x
6408,0.92,6.72,y
6409,0.01,4.09,x
6410,0.36,7.47,x
6411,0.41,3.67,z
6412,0.29,1.28,y
6413,0.56,4.08,y
6414,0.14,2.18,z
6415,0.6,5.27,y
6416,0.91,8.51,z
6417,0.41,4.61,x
6418,0.76,5.8,y
6419,0.3,5.11,z
6420,0.76,7.49,z
6421,0.55,6.19,x
6422,0.17,4.47,x
6423,0.6,1.73,x
6424,0.57,8.74,z
6425,0.64,7.33,z
6426,0.86,-0.83,x
6427,0.62,4.68,z
6428,0.36,3.79,z
6429,0.88,1.39,y
6430,0.63,2.04,y
6431,0.14,5.3,z
6432,0.01,5.06,z
6433,0.51,2.35,x
6434,0.88,8.61,z
6435,0.33,7.99,y
6436,0.08,7.87,x
6437,0.98,5.3,y
6438,0.06,1.24,z
6439,0.74,6.54,x
6440,0.9,8,z
6441,0.29,4.77,y
6442,0.77,8.4,x
6443,0.38,4.64,z
6444,0.28,3.72,z
6445,0.22,3.68,y
6446,0.34,6.7,x
6447,0.16,5.55,x
6448,0.81,3.63,z
6449,0.95,5.17,x
6450,0.86,1.33,z
6451,0.86,5.22,x
6452,0.48,4.59,y
6453,0.15,5.54,z
6454,0.25,7.14,z
6455,0.34,2.49,y
6456,0.34,8.46,x
6457,0.23,3.61,z
6458,0.22,8.38,y
6459,0.05,2.73,z
6460,0.43,9.19,x
6461,0.28,7.12,z
6462,0.16,8.38,x
6463,0.92,5.77,z
6464,0.18,4.91,y
6465,0.4,4.2,x
6466,0.49,5.38,x
6467,0.84,7.29,x
6468,0.5,2.57,y
6469,0.36,5.3,x
6470,0.31,3.27,z
6471,0.31,5.46,z
6472,0.43,6.87,x
6473,0.72,5.66,z
6474,0.58,9.2,z
6475,0.92,8.91,x
6476,0.69,7.23,z
6477,0.56,3.68,z
6478,0.95,4.62,x
6479,0.09,6.55,z
6480,0.99,5.25,y
6481,0.74,6.81,y
6482,0.7,9.79,x
6483,0.89,5.13,x
6484,0.19,5.7,x
6485,0.37,3.19,x
6486,0.77,6.79,y
6487,0.89,5.32,y
6488,0.12,0.79,y
6489,0.26,3.86,y
6490,0.93,7.02,y
6491,0.72,3.75,x
6492,0.2,1.82,z
6493,0.5,6.01,z
6494,0.62,2.01,x
6495,0.49,6.43,x
6496,0.97,3.13,x
6497,0.55,4.98,x
6498,0.76,3.69,y
6499,0.27,3.58,z
6500,0.51,5.01,x
6501,0.2,7.5,z
6502,0.74,4.86,z
6503,0.26,9.39,x
6504,0.95,2.84,z
6505,0.42,6.1,x
6506,0.19,0.28,y
6507,0.84,2.01,z
6508,0.73,2.07,y
6509,0.06,9.24,x
6510,0.91,3.31,y
6511,0.16,4.3,y
6512,0.3,4.59,z
6513,0.78,4.92,x
6514,0.7,1.23,y
6515,0.01,5.09,z
6516,0.86,4.89,z
6517,0.44,2.48,y
6518,0.54,4.17,y
6519,0.18,6.71,z
6520,0.86,4.71,z
6521,0.9,6.25,z
6522,0.44,3.72,z
6523,0.69,9.21,y
6524,0.44,4.49,z
6525,0.31,8.07,y
6526,0.09,7.81,y
6527,0.43,7.08,y
6528,0.2,5.71,x
6529,0.07,5.83,y
6530,0.01,6.29,z
6531,0.01,4.3,z
6532,0.24,5.27,z
6533,0.89,5.21,z
6534,0.96,1.97,x
6535,0.1,7.98,y
6536,0.47,3.37,x
6537,0.33,5.68,y
6538,0.1,6.1,y
6539,0.51,7.44,z
6540,0.28,4.69,z
6541,0.35,4.62,x
6542,0.08,5.1,z
6543,0.66,3.55,x
6544,0.07,4.04,z
6545,0.32,5.73,x
6546,0.82,3.85,x
6547,0.6,4.09,y
6548,0.39,0.49,y
6549,0.06,5.65,x
6550,0.75,4.37,y
